FileName	:			STAP01_13G(B)_ol7_profile.qtiDat																																																																					
Signal(s)	Used	:		Mg	Ka		Si	Ka		P		Ka		Fe	Ka		Ti	Ka		Cr	Ka		Al	Ka		Ca	Ka		Mn	Ka		Ni	Ka																																								
1	/	7	0		27.3116	18.8226	0.0079	10.7681	0.0137	0.0194	0.0327	0.2188	0.1725	0.1968	42.7589	100.3232	6949.7	32622.7	56	STAP01_13G(B)_ol7_profile	42.02		7	10/11/2013	07:52:13																																																
1	/	8	0		27.4099	18.7514	0	10.8517	0.0198	0.0431	0.0291	0.2113	0.1466	0.2073	42.7585	100.4286	6944	32618.7	56	STAP01_13G(B)_ol7_profile	49.02		8	10/11/2013	08:00:38																																																
1	/	9	0		27.3218	18.7804	0.0027	10.6636	0.0092	0.0481	0.0361	0.2129	0.1658	0.1973	42.6899	100.1277	6938.3	32614.6	56	STAP01_13G(B)_ol7_profile	56.02		9	10/11/2013	08:09:04																																																
1	/	10	0		27.3901	18.8046	0.0011	11.0745	0.001	0.0046	0.0295	0.2152	0.1633	0.2007	42.8477	100.7323	6932.6	32610.6	56	STAP01_13G(B)_ol7_profile	63.02		10	10/11/2013	08:17:35																																																
1	/	11	0		27.4767	18.8166	0.0093	10.8648	0.0009	0.0157	0.0181	0.2135	0.1635	0.1786	42.8572	100.6149	6926.9	32606.5	56	STAP01_13G(B)_ol7_profile	70.03		11	10/11/2013	08:26:06																																																
1	/	12	0		27.3244	18.8657	0.0055	10.8324	0.0145	0.0428	0.0256	0.2076	0.1501	0.1975	42.8258	100.4919	6921.1	32602.5	56	STAP01_13G(B)_ol7_profile	77.03		12	10/11/2013	08:34:35																																																
1	/	13	0		27.3731	18.8302	0.0031	10.8468	0	0.0251	0.0237	0.199	0.1475	0.1896	42.7922	100.4305	6915.4	32598.4	56	STAP01_13G(B)_ol7_profile	84.03		13	10/11/2013	08:43:07																																																
1	/	14	0		27.2451	18.7887	0	10.8232	0.0123	0.019	0.0183	0.2124	0.1488	0.185	42.6543	100.1073	6909.7	32594.4	56	STAP01_13G(B)_ol7_profile	91.03		14	10/11/2013	08:51:39																																																
1	/	15	0		27.2512	18.8124	0.0025	10.7781	0.0183	0.0275	0.0311	0.2159	0.1637	0.191	42.7034	100.195	6904	32590.3	56	STAP01_13G(B)_ol7_profile	98.04		15	10/11/2013	09:00:15																																																
1	/	16	0		27.1824	18.7365	0.0035	10.5439	0	0.023	0.0222	0.1989	0.1649	0.19	42.4694	99.5347	6898.3	32586.3	56	STAP01_13G(B)_ol7_profile	105.04		16	10/11/2013	09:08:40																																																
1	/	17	0		27.3262	18.8377	0.008	11.0206	0.0162	0.0139	0.0276	0.2143	0.1715	0.1769	42.8451	100.658	6892.6	32582.2	56	STAP01_13G(B)_ol7_profile	112.04		17	10/11/2013	09:17:12																																																
1	/	18	0		27.2216	18.7347	0.0048	10.8262	0.0178	0.0404	0.0233	0.2082	0.174	0.2032	42.6139	100.0679	6886.9	32578.2	56	STAP01_13G(B)_ol7_profile	119.04		18	10/11/2013	09:25:35																																																
1	/	19	0		27.3421	18.7746	0	11.1162	0.0055	0.0156	0.0171	0.2048	0.1552	0.1916	42.7773	100.6001	6881.1	32574.1	56	STAP01_13G(B)_ol7_profile	126.05		19	10/11/2013	09:34:05																																																
1	/	20	0		27.0919	18.7917	0	10.8933	0.0055	0.0435	0.0218	0.209	0.1637	0.1927	42.5923	100.0055	6875.4	32570.1	56	STAP01_13G(B)_ol7_profile	133.05		20	10/11/2013	09:42:27																																																
1	/	21	0		27.3722	18.8015	0	11.1263	0	0.0155	0.0214	0.2089	0.1818	0.1998	42.8408	100.7682	6869.7	32566.1	56	STAP01_13G(B)_ol7_profile	140.05		21	10/11/2013	09:50:51																																																
1	/	22	0		27.2092	18.8134	0	10.9081	0.0149	0.034	0.0242	0.205	0.1699	0.1979	42.6984	100.2751	6864	32562	56	STAP01_13G(B)_ol7_profile	147.05		22	10/11/2013	09:59:25																																																
