Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol4		11	03/11/2013	11:07:30	0	38.8185	0.0191	0.0435	0.021	0	0	20.4221	0.2813	39.8959	0.1648	0	0	0	0.1318	0	0	0	99.7979	0.4475	0.023	0.0037	0.0247	0	0	0.8706	0.0243	0.636	0.0083	0	0	0	0.0142	0	0	0	246	272	41	288	0	0	1114	202	422	64	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol4		12	03/11/2013	11:14:20	0	38.5187	0.0292	0.0384	0	0	0	20.6765	0.2783	39.611	0.165	0	0	0	0.1378	0	0	0	99.4549	0.4436	0.0223	0.0036	0.0248	0	0	0.8744	0.024	0.6302	0.0082	0	0	0	0.014	0	0	0	239	261	40	302	0	0	1044	201	421	62	0	0	0	143	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol5		13	03/11/2013	11:21:04	0	39.5928	0.0387	0.052	0.0417	0	0	16.3656	0.2704	43.1567	0.2758	0	0	0	0.1636	0	0	0	99.9573	0.4562	0.0223	0.0038	0.0256	0	0	0.7194	0.0243	0.6842	0.0109	0	0	0	0.0148	0	0	0	248	256	41	289	0	0	1011	208	430	64	0	0	0	146	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol5		14	03/11/2013	11:27:55	0	39.5103	0.0052	0.0484	0.0322	0	0	16.6175	0.2694	43.1583	0.2675	0	0	0	0.1733	0	0	0	100.0822	0.4549	0.0217	0.0037	0.0241	0	0	0.7241	0.0238	0.6828	0.0107	0	0	0	0.0147	0	0	0	244	259	40	276	0	0	968	202	425	64	0	0	0	142	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol5		15	03/11/2013	11:34:43	0	39.6665	0	0.0453	0.0211	0	0	16.2628	0.25	43.225	0.2801	0	0	0	0.1618	0	0	0	99.9125	0.4572	0.0228	0.0038	0.027	0	0	0.717	0.0236	0.6858	0.0111	0	0	0	0.0149	0	0	0	251	280	42	316	0	0	969	207	447	65	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol6		16	03/11/2013	11:41:32	0	39.1438	0.0194	0.0488	0.0215	0	0	17.3118	0.2866	42.238	0.2594	0	0	0	0.1522	0	0	0	99.4815	0.4507	0.0223	0.0038	0.0254	0	0	0.7489	0.0246	0.669	0.0106	0	0	0	0.0146	0	0	0	239	262	41	296	0	0	923	203	418	64	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol6		17	03/11/2013	11:48:20	0	39.3819	0.0294	0.0524	0.0088	0	0	17.081	0.2732	42.3964	0.2683	0	0	0	0.1528	0	0	0	99.644	0.4534	0.0222	0.0037	0.0252	0	0	0.7416	0.0241	0.6714	0.0106	0	0	0	0.0143	0	0	0	241	258	40	300	0	0	1015	205	422	62	0	0	0	142	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol6		18	03/11/2013	11:55:06	0	39.2613	0.0182	0.0534	0.0115	0	0	17.3579	0.3027	42.3143	0.2649	0	0	0	0.1542	0	0	0	99.7384	0.4527	0.0223	0.0038	0.0261	0	0	0.7583	0.0248	0.6724	0.0107	0	0	0	0.0147	0	0	0	249	263	41	309	0	0	1024	195	440	64	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol7		19	03/11/2013	12:01:56	0	38.896	0.0203	0.0477	0.0179	0	0	17.7751	0.2709	41.5986	0.2776	0	0	0	0.1554	0	0	0	99.0594	0.448	0.022	0.0038	0.0248	0	0	0.7672	0.0245	0.6596	0.0111	0	0	0	0.0147	0	0	0	242	260	41	290	0	0	1013	210	425	66	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol7		20	03/11/2013	12:08:44	0	39.2746	0.019	0.0475	0.0147	0	0	18.0461	0.2808	41.7373	0.2943	0	0	0	0.1485	0	0	0	99.8628	0.4526	0.0228	0.0037	0.0255	0	0	0.7821	0.0244	0.6634	0.0114	0	0	0	0.0145	0	0	0	247	269	40	301	0	0	1019	203	439	63	0	0	0	146	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol7		21	03/11/2013	12:15:36	0	39.2853	0.026	0.0433	0.0114	0	0	18.1104	0.287	41.7435	0.2841	0	0	0	0.1454	0	0	0	99.9365	0.4523	0.0222	0.0038	0.0255	0	0	0.7793	0.0246	0.6618	0.0113	0	0	0	0.0145	0	0	0	239	260	41	302	0	0	973	201	4	66	0	0	0	147	0	0	0
-1	CHRG10_5D	Snaefellsness	Snaefellsness	Hreggnasi	Hreggnasi	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	CHRG10_5D_ol8		22	03/11/2013	12:22:22	0	39.1665	0.0281	0.0417	0.0247	0	0	17.3352	0.2727	42.4591	0.2578	0	0	0	0.1634	0	0	0	99.7491	0.451	0.0218	0.0038	0.0252	0	0	0.7501	0.0244	0.6722	0.0106	0	0	0	0.0148	0	0	0	241	254	42	293	0	0	975	206	423	65	0	0	0	146	0	0	0
