FileName	:			09KS_04(A)_points.qtiDat																																																														
Signal(s)	Used	:		Fe	Ka		Si	Ka		Cr	Ka		Mg	Ka		Ti	Ka		Al	Ka		Mn	Ka		Ni	Ka		Ca	Ka																																					
7	/	1	0		0.4924	0.6139	0.0259	1.3823	0.0214	0.0038	0.0192	0.0148	0.011		-10730	8762	40	09KS_04(A)_ol3		7	31/10/2013	15:38:02																																												
8	/	1	0		0.5078	0.6156	0.0264	1.3621	0.0226	0.0038	0.0198	0.0145	0.0108		-10636	8751	41	09KS_04(A)_ol3		8	31/10/2013	15:44:48																																												
9	/	1	0		0.4978	0.6078	0.0268	1.3786	0.0217	0.0038	0.0198	0.0148	0.0108		-10659	8633	36	09KS_04(A)_ol3		9	31/10/2013	15:51:34																																												
10	/	1	0		0.4472	0.6189	0.0259	1.4071	0.0219	0.0039	0.0191	0.0149	0.0107		-5639	6180	17	09KS_04(A)_ol4		10	31/10/2013	15:58:20																																												
11	/	1	0		0.4548	0.6198	0.0268	1.4157	0.0229	0.004	0.0195	0.0151	0.0107		-5534	6163	16	09KS_04(A)_ol4		11	31/10/2013	16:05:08																																												
12	/	1	0		0.4524	0.6192	0.026	1.4153	0.022	0.004	0.0191	0.0152	0.0107		-5643	6057	18	09KS_04(A)_ol4		12	31/10/2013	16:11:56																																												
13	/	1	0		0.4374	0.6205	0.0268	1.4215	0.0216	0.004	0.0186	0.016	0.0108		-9324	5228	30	09KS_04(A)_ol5		13	31/10/2013	16:18:43																																												
14	/	1	0		0.44	0.6211	0.0268	1.4203	0.0221	0.004	0.019	0.0161	0.0108		-9235	5278	30	09KS_04(A)_ol5		14	31/10/2013	16:25:27																																												
15	/	1	0		0.4377	0.6197	0.0269	1.4198	0.0213	0.0039	0.019	0.0161	0.011		-9382	5052	32	09KS_04(A)_ol5		15	31/10/2013	16:32:10																																												
16	/	1	0		0.4635	0.6156	0.0276	1.3961	0.0224	0.0039	0.0193	0.0157	0.0111		-12482	4352	42	09KS_04(A)_ol6		16	31/10/2013	16:38:54																																												
17	/	1	0		0.4597	0.616	0.0279	1.4055	0.0219	0.0039	0.0195	0.0158	0.011		-12386	4274	42	09KS_04(A)_ol6		17	31/10/2013	16:45:39																																												
18	/	1	0		0.4602	0.6171	0.0268	1.4074	0.0228	0.0039	0.0196	0.0157	0.011		-12208	4519	40	09KS_04(A)_ol6		18	31/10/2013	16:52:23																																												
19	/	1	0		0.4402	0.6183	0.0272	1.4123	0.0218	0.0039	0.0192	0.016	0.0109		-14788	3878	48	09KS_04(A)_ol7		19	31/10/2013	16:59:08																																												
20	/	1	0		0.4428	0.619	0.0269	1.4134	0.0222	0.0039	0.019	0.0159	0.0106		-14613	3878	50	09KS_04(A)_ol7		20	31/10/2013	17:05:52																																												
21	/	1	0		0.4404	0.6192	0.0277	1.4178	0.0224	0.0039	0.019	0.016	0.0109		-14742	3735	47	09KS_04(A)_ol7		21	31/10/2013	17:12:41																																												
22	/	1	0		0.4472	0.6181	0.0274	1.42	0.0224	0.0039	0.0189	0.0158	0.011		-17560	3756	60	09KS_04(A)_ol8		22	31/10/2013	17:19:27																																												
23	/	1	0		0.444	0.6207	0.0271	1.4217	0.0222	0.0039	0.0193	0.0158	0.011		-17504	3762	60	09KS_04(A)_ol8		23	31/10/2013	17:26:10																																												
24	/	1	0		0.4439	0.6199	0.0271	1.4183	0.0218	0.0039	0.0191	0.0159	0.011		-17470	3664	58	09KS_04(A)_ol8		24	31/10/2013	17:32:54																																												
25	/	1	0		0.4679	0.6159	0.0267	1.4044	0.0218	0.004	0.0195	0.0152	0.0113		-19943	3653	66	09KS_04(A)_ol9		25	31/10/2013	17:39:39																																												
26	/	1	0		0.4621	0.6135	0.0269	1.4054	0.0222	0.0038	0.0196	0.0152	0.0111		-19760	3638	64	09KS_04(A)_ol9		26	31/10/2013	17:46:23																																												
27	/	1	0		0.4749	0.6128	0.0271	1.4014	0.0228	0.0041	0.0194	0.0152	0.011		-19896	3463	64	09KS_04(A)_ol9		27	31/10/2013	17:53:08																																												
28	/	1	0		0.4662	0.6185	0.0271	1.402	0.0224	0.0037	0.0196	0.0154	0.0107		-22336	3195	73	09KS_04(A)_ol10		28	31/10/2013	17:59:51																																												
29	/	1	0		0.4574	0.6188	0.0268	1.4058	0.0219	0.0037	0.0195	0.0156	0.011		-22239	3167	71	09KS_04(A)_ol10		29	31/10/2013	18:06:36																																												
30	/	1	0		0.4522	0.6182	0.0277	1.4121	0.0219	0.004	0.019	0.0158	0.0111		-22135	3172	74	09KS_04(A)_ol10		30	31/10/2013	18:13:22																																												
31	/	1	0		0.4523	0.6189	0.0273	1.419	0.0212	0.0037	0.019	0.0158	0.0107		-22529	91	68	09KS_04(A)_ol11		31	31/10/2013	18:20:08																																												
32	/	1	0		0.4549	0.6176	0.0266	1.4108	0.0217	0.0037	0.0195	0.0155	0.0102		-22734	18	68	09KS_04(A)_ol11		32	31/10/2013	18:26:53																																												
33	/	1	0		0.4611	0.619	0.0249	1.4151	0.0222	0.0037	0.0196	0.0155	0.0102		-22786	-181	68	09KS_04(A)_ol11		33	31/10/2013	18:33:38																																												
34	/	1	0		0.4498	0.6229	0.0257	1.4202	0.0218	0.0036	0.0191	0.0155	0.0096		-19542	-213	59	09KS_04(A)_ol12		34	31/10/2013	18:40:27																																												
35	/	1	0		0.4541	0.6213	0.0264	1.4132	0.022	0.0036	0.0191	0.0155	0.0098		-19461	-215	59	09KS_04(A)_ol12		35	31/10/2013	18:47:11																																												
36	/	1	0		0.4479	0.6229	0.027	1.4232	0.0221	0.0036	0.0192	0.0155	0.0104		-19355	-297	59	09KS_04(A)_ol12		36	31/10/2013	18:53:56																																												
