Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol4,11,31/10/2013,0.0000,40.8479,0.0011,0.0735,0.0309,0.0000,0.0000,11.1762,0.1480,47.0467,0.3112,0.0000,0.0000,0.0000,0.2492,0.0000,0.0000,0.0000,99.8846,0.6198,0.0229,0.0040,0.0268,0.0000,0.0000,0.4548,0.0195,1.4157,0.0107,0.0000,9.0000,0.0000,0.0151,0.0000,0.0000,0.0000,251.0000,275.0000,41.0000,309.0000,0.0000,0.0000,910.0000,204.0000,438.0000,65.0000,0.0000,9.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol4,12,31/10/2013,0.0000,40.8174,0.0041,0.0701,0.0095,0.0000,0.0000,11.1343,0.1557,47.0390,0.3113,0.0000,0.0000,0.0000,0.2505,0.0000,0.0000,0.0000,99.7918,0.6192,0.0220,0.0040,0.0260,0.0000,0.0000,0.4524,0.0191,1.4153,0.0107,0.0000,9.0000,0.0000,0.0152,0.0000,0.0000,0.0000,248.0000,263.0000,41.0000,309.0000,0.0000,0.0000,918.0000,197.0000,451.0000,65.0000,0.0000,9.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol5,13,31/10/2013,0.0000,40.9009,0.0166,0.0713,0.0582,0.0000,0.0000,10.5989,0.1645,47.2444,0.3154,0.0000,0.0000,0.0000,0.3243,0.0000,0.0000,0.0000,99.6946,0.6205,0.0216,0.0040,0.0268,0.0000,0.0000,0.4374,0.0186,1.4215,0.0108,0.0000,9.0000,0.0000,0.0160,0.0000,0.0000,0.0000,249.0000,255.0000,41.0000,297.0000,0.0000,0.0000,906.0000,188.0000,445.0000,65.0000,0.0000,9.0000,0.0000,144.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol5,14,31/10/2013,0.0000,40.9398,0.0119,0.0731,0.0266,0.0000,0.0000,10.7566,0.1510,47.2102,0.3178,0.0000,0.0000,0.0000,0.3231,0.0000,0.0000,0.0000,99.8100,0.6211,0.0221,0.0040,0.0268,0.0000,0.0000,0.4400,0.0190,1.4203,0.0108,0.0000,9.0000,0.0000,0.0161,0.0000,0.0000,0.0000,249.0000,263.0000,40.0000,311.0000,0.0000,0.0000,839.0000,196.0000,441.0000,65.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol5,15,31/10/2013,0.0000,40.8460,0.0000,0.0682,0.0508,0.0000,0.0000,10.6050,0.1634,47.1868,0.3292,0.0000,0.0000,0.0000,0.3195,0.0000,0.0000,0.0000,99.5688,0.6197,0.0213,0.0039,0.0269,0.0000,0.0000,0.4377,0.0190,1.4198,0.0110,0.0000,9.0000,0.0000,0.0161,0.0000,0.0000,0.0000,252.0000,260.0000,41.0000,301.0000,0.0000,0.0000,919.0000,193.0000,445.0000,65.0000,0.0000,9.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol6,16,31/10/2013,0.0000,40.5761,0.0116,0.0677,0.0479,0.0000,0.0000,11.5031,0.1796,46.3915,0.3300,0.0000,0.0000,0.0000,0.3070,0.0000,0.0000,0.0000,99.4145,0.6156,0.0224,0.0039,0.0276,0.0000,0.0000,0.4635,0.0193,1.3961,0.0111,0.0000,9.0000,0.0000,0.0157,0.0000,0.0000,0.0000,248.0000,266.0000,40.0000,311.0000,0.0000,0.0000,940.0000,193.0000,454.0000,65.0000,0.0000,9.0000,0.0000,144.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol6,17,31/10/2013,0.0000,40.5964,0.0139,0.0659,0.0671,0.0000,0.0000,11.3357,0.1739,46.7016,0.3232,0.0000,0.0000,0.0000,0.3050,0.0000,0.0000,0.0000,99.5828,0.6160,0.0219,0.0039,0.0279,0.0000,0.0000,0.4597,0.0195,1.4055,0.0110,0.0000,9.0000,0.0000,0.0158,0.0000,0.0000,0.0000,252.0000,259.0000,41.0000,306.0000,0.0000,0.0000,924.0000,197.0000,439.0000,66.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol6,18,31/10/2013,0.0000,40.6672,0.0065,0.0678,0.0397,0.0000,0.0000,11.3590,0.1638,46.7670,0.3233,0.0000,0.0000,0.0000,0.2979,0.0000,0.0000,0.0000,99.6921,0.6171,0.0228,0.0039,0.0268,0.0000,0.0000,0.4602,0.0196,1.4074,0.0110,0.0000,9.0000,0.0000,0.0157,0.0000,0.0000,0.0000,253.0000,272.0000,40.0000,305.0000,0.0000,0.0000,904.0000,201.0000,443.0000,66.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol7,19,31/10/2013,0.0000,40.7575,0.0089,0.0614,0.0789,0.0000,0.0000,10.7522,0.1638,46.9381,0.3192,0.0000,0.0000,0.0000,0.3171,0.0000,0.0000,0.0000,99.3970,0.6183,0.0218,0.0039,0.0272,0.0000,0.0000,0.4402,0.0192,1.4123,0.0109,0.0000,9.0000,0.0000,0.0160,0.0000,0.0000,0.0000,250.0000,259.0000,41.0000,292.0000,0.0000,0.0000,865.0000,197.0000,449.0000,65.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
-1,09KS_04_A,NVZ,kistufell,kistufell,kistufell,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,09KS_04(A)_ol7,20,31/10/2013,0.0000,40.7978,0.0178,0.0609,0.0659,0.0000,0.0000,10.7823,0.1601,46.9702,0.3043,0.0000,0.0000,0.0000,0.3153,0.0000,0.0000,0.0000,99.4745,0.6190,0.0222,0.0039,0.0269,0.0000,0.0000,0.4428,0.0190,1.4134,0.0106,0.0000,9.0000,0.0000,0.0159,0.0000,0.0000,0.0000,251.0000,261.0000,41.0000,294.0000,0.0000,0.0000,883.0000,194.0000,443.0000,66.0000,0.0000,9.0000,0.0000,145.0000,0.0000,0.0000,0.0000,
