Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment		Point	Date	Notes		SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol4		11	09/11/2013	11:10:57	0	47.8641	1.065	8.264	0.0028	0	0	11.1537	0.1965	23.6928	5.6945	0	0	0.2337	0.1007	0	0	0	98.2676	0.5163	0.052	0.1233	0.0445	0	0	0.4363	0.0242	0.3517	0.174	0	0	0	0.0223	0	0	0	263	309	166	537	0	0	874	241	274	192	0	0	0	244	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol4		12	09/11/2013	11:19:32	0	40.3827	0.0324	0.043	0.036	0	0	13.6748	0.1946	46.2561	0.2383	0	0	0.014	0.228	0	0	0	101.0999	0.4375	0.0248	0.0128	0.0452	0	0	0.5068	0.0243	0.6623	0.017	0	0	0	0.0253	0	0	0	250	287	141	518	0	0	921	244	365	124	0	0	0	245	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol5		13	09/11/2013	11:28:06	0	39.6939	0.0163	0.0238	0	0	0	16.6955	0.2637	43.4769	0.2489	0	0	0.013	0.1892	0	0	0	100.6213	0.4302	0.0256	0.0125	0.0418	0	0	0.5905	0.0259	0.6246	0.0173	0	0	0	0.024	0	0	0	249	302	144	509	0	0	1032	245	361	125	0	0	0	240	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol5		14	09/11/2013	11:36:38	0	39.6634	0.0261	0.0227	0.0063	0	0	17.2021	0.2625	43.4492	0.2288	0	0	0.0297	0.1845	0	0	0	101.0751	0.4299	0.0264	0.0128	0.042	0	0	0.6042	0.0263	0.6242	0.0169	0	0	0	0.0246	0	0	0	250	310	148	503	0	0	1044	250	360	127	0	0	0	249	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol5		15	09/11/2013	11:45:13	0	39.6889	0	0.0434	0.0464	0	0	16.6987	0.2495	43.4384	0.2403	0	0	0.0122	0.2044	0	0	0	100.6222	0.4296	0.0254	0.0128	0.0442	0	0	0.5838	0.0258	0.6227	0.017	0	0	0	0.0244	0	0	0	241	306	141	498	0	0	1003	249	345	125	0	0	0	241	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol6		16	09/11/2013	11:53:39	0	39.9586	0	0.0585	0.0049	0	0	14.7457	0.2298	44.8082	0.2691	0	0	0.0046	0.2231	0	0	0	100.3024	0.433	0.025	0.0131	0.0449	0	0	0.5368	0.0253	0.6425	0.018	0	0	0	0.0251	0	0	0	251	306	141	539	0	0	1005	245	361	127	0	0	0	242	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol6		17	09/11/2013	12:02:12	0	40.0286	0.0025	0.0324	0.0124	0	0	14.915	0.2263	44.7546	0.2779	0	0	0.0135	0.2219	0	0	0	100.485	0.4337	0.0263	0.0128	0.0444	0	0	0.5409	0.0256	0.6418	0.0183	0	0	0	0.0251	0	0	0	246	315	145	527	0	0	956	252	361	128	0	0	0	243	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol6		18	09/11/2013	12:10:47	0	40.1402	0.005	0.0469	0.0596	0	0	14.5312	0.2347	44.7529	0.2705	0	0	0.001	0.2356	0	0	0	100.2777	0.4349	0.0253	0.0126	0.0416	0	0	0.5314	0.0251	0.6418	0.0184	0	0	0	0.0254	0	0	0	247	303	138	450	0	0	1020	240	365	133	0	0	0	243	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol7		19	09/11/2013	12:19:22	0	39.9298	0.0185	0.0399	0.0506	0	0	15.7317	0.2522	43.8883	0.2845	0	0	0.0153	0.1789	0	0	0	100.3896	0.4327	0.0252	0.0125	0.0429	0	0	0.5639	0.0247	0.6301	0.018	0	0	0	0.0233	0	0	0	249	296	140	475	0	0	1002	235	362	125	0	0	0	235	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol7		20	09/11/2013	12:27:52	0	39.9819	0	0.0326	0.0083	0	0	15.6922	0.2439	44.3828	0.2793	0	0	0.0215	0.1988	0	0	0	100.8413	0.4333	0.0255	0.0125	0.0431	0	0	0.5622	0.0249	0.6369	0.0179	0	0	0	0.0236	0	0	0	249	309	142	515	0	0	932	240	361	124	0	0	0	232	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol7		21	09/11/2013	12:36:24	0	39.8934	0	0.0213	0.0383	0	0	15.2471	0.239	44.2525	0.3023	0	0	0.0219	0.2009	0	0	0	100.2167	0.4323	0.0251	0.0123	0.0458	0	0	0.5496	0.0255	0.6349	0.0189	0	0	0	0.0242	0	0	0	248	304	142	523	0	0	971	248	360	128	0	0	0	239	0	0	0
-1	STAP01_13G_B	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	STAP01_13G(B)_ol8		22	09/11/2013	12:44:55	0	40.2951	0.0297	0.0376	0.02	0	0	14.2741	0.22	45.4543	0.2474	0	0	0.0113	0.2527	0	0	0	100.8421	0.4366	0.0257	0.0129	0.0425	0	0	0.5227	0.0254	0.6514	0.0176	0	0	0	0.0258	0	0	0	248	299	144	497	0	0	881	250	362	130	0	0	0	242	0	0	0
