Ref_number,Sample_number,Volcanic_zone,System,Eruption,Location,Phase,Phase_number,Point_number,Core_rim,Profile_distance,Pheno_xeno_nod_gm,Texture,Inclusion,Hostref,Machine,Lab,Analyst,Comment,Point,Date,Notes,SiO2,TiO2,Al203,Cr2O3,V2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,SO2,F,Cl,Total,SiO2_err,TiO2_err,Al2O3_err,Cr2O3_err,V2O3_err,Fe2O3_err,FeO_err,MnO_err,MgO_err,CaO_err,Na2O_err,K2O_err,P2O5_err,NiO_err,SO2_err,F_err,Cl_err,SiO2_dl,TiO2_dl,Al203_dl,Cr2O3_dl,V2O3_dl,Fe2O3_dl,FeO_dl,MnO_dl,MgO_dl,CaO_dl,Na2O_dl,K2O_dl,P2O5_dl,NiO_dl,SO2_dl,F_dl,Cl_dl,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol4,11,31/10/2013,0.0000,38.8066,0.0039,0.0399,0.0229,0.0000,0.0000,20.1427,0.3265,39.9312,0.2719,0.0000,0.0000,0.0000,0.1391,0.0000,0.0000,0.0000,99.6846,0.4469,0.0217,0.0036,0.0248,0.0000,0.0000,0.8552,0.0256,0.6351,0.0107,0.0000,0.0000,0.0000,0.0140,0.0000,0.0000,0.0000,238.0000,260.0000,40.0000,288.0000,0.0000,0.0000,1029.0000,200.0000,418.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol4,12,31/10/2013,0.0000,38.7594,0.0175,0.0413,0.0128,0.0000,0.0000,20.2523,0.3053,40.0761,0.2748,0.0000,0.0000,0.0000,0.1310,0.0000,0.0000,0.0000,99.8705,0.4464,0.0218,0.0036,0.0253,0.0000,0.0000,0.8592,0.0250,0.6373,0.0107,0.0000,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,241.0000,258.0000,40.0000,299.0000,0.0000,0.0000,1015.0000,203.0000,423.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,13,31/10/2013,0.0000,39.4943,0.0308,0.0503,0.0241,0.0000,0.0000,16.0287,0.2387,43.3058,0.2683,0.0000,0.0000,0.0000,0.1836,0.0000,0.0000,0.0000,99.6245,0.4551,0.0222,0.0038,0.0262,0.0000,0.0000,0.7069,0.0234,0.6864,0.0109,0.0000,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,248.0000,258.0000,41.0000,304.0000,0.0000,0.0000,1008.0000,209.0000,440.0000,65.0000,0.0000,0.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,14,31/10/2013,0.0000,39.7199,0.0277,0.0485,0.0052,0.0000,0.0000,15.7779,0.2494,43.6066,0.2670,0.0000,0.0000,0.0000,0.1798,0.0000,0.0000,0.0000,99.8823,0.4578,0.0226,0.0038,0.0261,0.0000,0.0000,0.6992,0.0234,0.6914,0.0108,0.0000,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,249.0000,264.0000,41.0000,312.0000,0.0000,0.0000,1009.0000,202.0000,437.0000,64.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol5,15,31/10/2013,0.0000,39.1386,0.0174,0.0502,0.0356,0.0000,0.0000,16.0359,0.2466,43.3114,0.2734,0.0000,0.0000,0.0000,0.1746,0.0000,0.0000,0.0000,99.2836,0.4507,0.0220,0.0037,0.0253,0.0000,0.0000,0.7022,0.0232,0.6850,0.0107,0.0000,0.0000,0.0000,0.0148,0.0000,0.0000,0.0000,243.0000,260.0000,40.0000,288.0000,0.0000,0.0000,947.0000,205.0000,423.0000,62.0000,0.0000,0.0000,0.0000,143.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol6,16,31/10/2013,0.0000,39.3219,0.0177,0.0495,0.0258,0.0000,0.0000,17.5189,0.2734,41.6987,0.2678,0.0000,0.0000,0.0000,0.1417,0.0000,0.0000,0.0000,99.3154,0.4527,0.0221,0.0038,0.0261,0.0000,0.0000,0.7572,0.0244,0.6609,0.0108,0.0000,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,239.0000,261.0000,41.0000,304.0000,0.0000,0.0000,1005.0000,207.0000,423.0000,65.0000,0.0000,0.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol6,17,31/10/2013,0.0000,39.1413,0.0051,0.0456,0.0270,0.0000,0.0000,17.7015,0.2955,41.7290,0.2719,0.0000,0.0000,0.0000,0.1548,0.0000,0.0000,0.0000,99.3718,0.4513,0.0223,0.0036,0.0266,0.0000,0.0000,0.7709,0.0244,0.6636,0.0107,0.0000,0.0000,0.0000,0.0142,0.0000,0.0000,0.0000,249.0000,266.0000,40.0000,308.0000,0.0000,0.0000,1040.0000,198.0000,432.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol6,18,31/10/2013,0.0000,39.2569,0.0344,0.0432,0.0083,0.0000,0.0000,17.6005,0.2770,42.0301,0.2703,0.0000,0.0000,0.0000,0.1390,0.0000,0.0000,0.0000,99.6596,0.4524,0.0223,0.0038,0.0255,0.0000,0.0000,0.7659,0.0247,0.6676,0.0109,0.0000,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,245.0000,259.0000,42.0000,303.0000,0.0000,0.0000,1080.0000,208.0000,431.0000,66.0000,0.0000,0.0000,0.0000,147.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol7,19,31/10/2013,0.0000,39.2229,0.0145,0.0452,0.0263,0.0000,0.0000,17.1059,0.2649,42.1267,0.2721,0.0000,0.0000,0.0000,0.1110,0.0000,0.0000,0.0000,99.1896,0.4521,0.0219,0.0036,0.0252,0.0000,0.0000,0.7474,0.0234,0.6690,0.0107,0.0000,0.0000,0.0000,0.0133,0.0000,0.0000,0.0000,247.0000,259.0000,40.0000,291.0000,0.0000,0.0000,1038.0000,198.0000,432.0000,63.0000,0.0000,0.0000,0.0000,141.0000,0.0000,0.0000,0.0000,
-1,CHRG10_5A,Snaefellsness,Snaefellsness,Hreggnasi,Hreggnasi,ol,-1,-1,-1,-1,-1,-1,-1,-1,SX100,Cambridge,Lucy_Tweed,CHRG10_5A_ol7,20,31/10/2013,0.0000,39.7649,0.0133,0.0500,0.0230,0.0000,0.0000,16.9523,0.2582,42.3117,0.2710,0.0000,0.0000,0.0000,0.1061,0.0000,0.0000,0.0000,99.7504,0.4582,0.0221,0.0038,0.0254,0.0000,0.0000,0.7419,0.0241,0.6717,0.0109,0.0000,0.0000,0.0000,0.0137,0.0000,0.0000,0.0000,248.0000,262.0000,41.0000,296.0000,0.0000,0.0000,1068.0000,210.0000,435.0000,65.0000,0.0000,0.0000,0.0000,146.0000,0.0000,0.0000,0.0000,
