Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.1841	15223	-20740	0	1	0	40.4858	0	0	0	46.2017	0.0713	0	0.0149	0	0	0	12.6176	0	0	0	0.0525	1	0	0.4663	0	0	0	0.7289	0.0272	0	0.0222	0	0	0	0.5782	0	0	0	1	0	249	0	0	0	442	296	0	262	0	0	0	917	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.448	11297	-21862	0	1	0	39.7884	0	0	0	43.3032	0.0229	0	0.007	0	0	0	15.5387	0	0	0	0.0388	1	0	0.4584	0	0	0	0.6863	0.027	0	0.0219	0	0	0	0.6891	0	0	0	1	0	248	0	0	0	441	316	0	262	0	0	0	1045	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9964	11655	-21670	0	1	0	39.8831	0	0	0	43.8827	0.0444	0	0.0025	0	0	0	15.3926	0	0	0	0.0366	1	0	0.4597	0	0	0	0.6955	0.0273	0	0.022	0	0	0	0.6851	0	0	0	1	0	249	0	0	0	436	309	0	264	0	0	0	1025	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9011	11599	-22073	0	1	0	39.679	0	0	0	43.5599	0.0479	0	0	0	0	0	15.82	0	0	0	0.0391	1	0	0.4572	0	0	0	0.69	0.0261	0	0.0219	0	0	0	0.6986	0	0	0	1	0	244	0	0	0	429	292	0	266	0	0	0	977	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6961	7279	-22859	0	1	0	39.0898	0	0	0	41.0156	0.0161	0	0.0105	0	0	0	18.7865	0	0	0	0.0366	1	0	0.4501	0	0	0	0.6509	0.0253	0	0.0218	0	0	0	0.8044	0	0	0	1	0	242	0	0	0	424	298	0	259	0	0	0	1014	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6082	7724	-22822	0	1	0	39.2966	0	0	0	41.2431	0	0	0	0	0	0	18.2742	0	0	0	0.0377	1	0	0.4524	0	0	0	0.6541	0.0251	0	0.0216	0	0	0	0.7856	0	0	0	1	0	240	0	0	0	413	305	0	260	0	0	0	1063	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9015	7592	-23028	0	1	0	39.3082	0	0	0	40.906	0	0	0.0004	0	0	0	18.9247	0	0	0	0.0365	1	0	0.4531	0	0	0	0.6515	0.0254	0	0.023	0	0	0	0.8162	0	0	0	1	0	247	0	0	0	428	306	0	277	0	0	0	1019	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.2861	3708	-24188	0	1	0	40.2825	0	0	0	45.2721	0.0433	0	0	0	0	0	13.9056	0	0	0	0.0507	1	0	0.4642	0	0	0	0.7159	0.028	0	0.0223	0	0	0	0.6288	0	0	0	1	0	250	0	0	0	448	318	0	271	0	0	0	958	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8954	3906	-24154	0	1	0	40.1955	0	0	0	45.288	0.059	0	0.0281	0	0	0	13.575	0	0	0	0.0494	1	0	0.4626	0	0	0	0.714	0.0265	0	0.0214	0	0	0	0.6103	0	0	0	1	0	243	0	0	0	432	293	0	249	0	0	0	946	0	0	0		
-1	STAP01_13G_A	WVZ	Reykjanesskagi	Stapafell	Stapafell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6851	3912	-24296	0	1	0	39.9896	0	0	0	45.2226	0.0587	0	0	0	0	0	13.6471	0	0	0	0.0472	1	0	0.4609	0	0	0	0.7152	0.0277	0	0.0222	0	0	0	0.6193	0	0	0	1	0	247	0	0	0	441	308	0	268	0	0	0	957	0	0	0		
