Ref_number	Sample_number	Volcanic_zone	System	Eruption	Location	Phase	Phase_number	Point_number	Core_rim	Profile_distance	Pheno_xeno_nod_gm	Texture	Inclusion	Hostref	Machine	Lab	Analyst	Comment	Point	Date	Notes			SiO2	TiO2	Al203	Cr2O3	V2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	NiO	SO2	F	Cl	Total	SiO2_err	TiO2_err	Al2O3_err	Cr2O3_err	V2O3_err	Fe2O3_err	FeO_err	MnO_err	MgO_err	CaO_err	Na2O_err	K2O_err	P2O5_err	NiO_err	SO2_err	F_err	Cl_err	SiO2_dl	TiO2_dl	Al203_dl	Cr2O3_dl	V2O3_dl	Fe2O3_dl	FeO_dl	MnO_dl	MgO_dl	CaO_dl	Na2O_dl	K2O_dl	P2O5_dl	NiO_dl	SO2_dl	F_dl	Cl_dl
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7373	-6274	3908	0	1	0	40.727	0	0	0	46.9021	0.0517	0	0.0003	0	0	0	11.3104	0	0	0	0.0242	1	0	0.4691	0	0	0	0.7393	0.0262	0	0.021	0	9	0	0.5307	0	0	0	1	0	249	0	0	0	434	291	0	252	0	9	0	973	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8772	-6260	3763	0	1	0	40.8493	0	0	0	46.9515	0.0435	0	0.006	0	0	0	11.2689	0	0	0	0.0252	1	0	0.4706	0	0	0	0.7408	0.0265	0	0.0216	0	9	0	0.5308	0	0	0	1	0	251	0	0	0	444	299	0	259	0	9	0	955	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8672	-6148	3762	0	1	0	40.9036	0	0	0	46.8028	0.0238	0	0.0174	0	0	0	11.3564	0	0	0	0.022	1	0	0.4712	0	0	0	0.7386	0.0261	0	0.0221	0	9	0	0.5332	0	0	0	1	0	252	0	0	0	445	303	0	261	0	9	0	871	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.8666	-9242	3907	0	1	0	40.5893	0	0	0	47.0847	0.0428	0	0	0	0	0	11.2931	0	0	0	0.0638	1	0	0.4671	0	0	0	0.7406	0.0265	0	0.0212	0	9	0	0.5248	0	0	0	1	0	243	0	0	0	427	301	0	258	0	9	0	885	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4912	-9195	3784	0	1	0	40.4733	0	0	0	46.8031	0.0696	0	0.015	0	0	0	11.2842	0	0	0	0.0658	1	0	0.4658	0	0	0	0.7364	0.0267	0	0.0215	0	9	0	0.5242	0	0	0	1	0	243	0	0	0	430	290	0	255	0	9	0	870	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6586	-9117	3852	0	1	0	40.4526	0	0	0	47.0447	0.0477	0	0	0	0	0	11.2322	0	0	0	0.0655	1	0	0.4655	0	0	0	0.7399	0.0258	0	0.0213	0	9	0	0.5219	0	0	0	1	0	243	0	0	0	432	290	0	257	0	9	0	863	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.695	-12120	3553	0	1	0	40.3096	0	0	0	45.9822	0.0501	0	0.0064	0	0	0	12.5098	0	0	0	0.0655	1	0	0.4643	0	0	0	0.7258	0.0267	0	0.0215	0	9	0	0.5746	0	0	0	1	0	248	0	0	0	441	299	0	257	0	9	0	903	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4821	-12057	3592	0	1	0	40.6491	0	0	0	45.917	0.0321	0	0.0242	0	0	0	12.0227	0	0	0	0.0517	1	0	0.4678	0	0	0	0.7233	0.0266	0	0.0219	0	9	0	0.5528	0	0	0	1	0	243	0	0	0	435	306	0	257	0	9	0	945	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6273	-12057	3546	0	1	0	40.5775	0	0	0	45.9567	0.0289	0	0	0	0	0	12.2296	0	0	0	0.0566	1	0	0.4674	0	0	0	0.7255	0.027	0	0.0216	0	9	0	0.5649	0	0	0	1	0	249	0	0	0	449	312	0	268	0	9	0	954	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.4777	-14926	3488	0	1	0	40.1337	0	0	0	45.5455	0.0479	0	0	0	0	0	12.9347	0	0	0	0.0528	1	0	0.4625	0	0	0	0.7199	0.0273	0	0.0228	0	9	0	0.5926	0	0	0	1	0	251	0	0	0	443	307	0	281	0	9	0	957	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6818	-14795	3339	0	1	0	40.6059	0	0	0	46.2295	0.0407	0	0.012	0	0	0	11.9468	0	0	0	0.0362	1	0	0.4673	0	0	0	0.728	0.0263	0	0.0213	0	9	0	0.5495	0	0	0	1	0	242	0	0	0	437	298	0	253	0	9	0	911	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7524	-14650	3470	0	1	0	40.4972	0	0	0	46.2188	0.0528	0	0	0	0	0	12.1668	0	0	0	0.0272	1	0	0.4665	0	0	0	0.7294	0.0269	0	0.0215	0	9	0	0.5623	0	0	0	1	0	249	0	0	0	446	301	0	261	0	9	0	913	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.1287	-17879	3215	0	1	0	40.6226	0	0	0	47.0965	0.0588	0	0.0201	0	0	0	11.4562	0	0	0	0.0663	1	0	0.468	0	0	0	0.7429	0.0282	0	0.022	0	9	0	0.5372	0	0	0	1	0	251	0	0	0	445	313	0	258	0	9	0	926	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.9248	-17940	3130	0	1	0	40.673	0	0	0	47.1415	0.0916	0	0.0139	0	0	0	11.1509	0	0	0	0.072	1	0	0.468	0	0	0	0.7414	0.0285	0	0.0208	0	9	0	0.5193	0	0	0	1	0	243	0	0	0	422	306	0	247	0	9	0	876	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.6377	-17833	3177	0	1	0	40.6854	0	0	0	46.8372	0.0647	0	0	0	0	0	11.1765	0	0	0	0.0681	1	0	0.4687	0	0	0	0.7389	0.0273	0	0.0219	0	9	0	0.5269	0	0	0	1	0	251	0	0	0	440	299	0	265	0	9	0	955	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5789	-21195	3006	0	1	0	40.5015	0	0	0	46.8799	0.0556	0	0.0095	0	0	0	11.2883	0	0	0	0.0623	1	0	0.4665	0	0	0	0.7391	0.0273	0	0.0217	0	9	0	0.5285	0	0	0	1	0	247	0	0	0	442	304	0	259	0	9	0	854	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.5893	-21072	3056	0	1	0	40.7162	0	0	0	46.8524	0.0431	0	0.0005	0	0	0	11.1172	0	0	0	0.069	1	0	0.4689	0	0	0	0.7386	0.0275	0	0.0217	0	9	0	0.5232	0	0	0	1	0	247	0	0	0	438	312	0	260	0	9	0	952	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.614	-21004	3053	0	1	0	40.6744	0	0	0	46.745	0.0431	0	0.0085	0	0	0	11.2704	0	0	0	0.0622	1	0	0.4686	0	0	0	0.7376	0.0277	0	0.022	0	9	0	0.5304	0	0	0	1	0	252	0	0	0	448	314	0	262	0	9	0	945	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7424	-22436	114	0	1	0	40.5084	0	0	0	46.9298	0.0688	0	0	0	0	0	11.3901	0	0	0	0.0629	1	0	0.4662	0	0	0	0.7383	0.0267	0	0.021	0	9	0	0.5283	0	0	0	1	0	243	0	0	0	4	291	0	254	0	9	0	876	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	100.0667	-22335	119	0	1	0	40.8903	0	0	0	46.9854	0.0422	0	0.0318	0	0	0	11.2433	0	0	0	0.0701	1	0	0.471	0	0	0	0.7411	0.0279	0	0.0218	0	9	0	0.5289	0	0	0	1	0	253	0	0	0	444	317	0	253	0	9	0	909	0	0	0		
-1	09KS_04_B	NVZ	kistufell	kistufell	kistufell	ol	-1	-1	-1	-1	-1	-1	-1	-1	SX100	Cambridge	Lucy_Tweed	99.7146	-22405	40	0	1	0	40.6273	0	0	0	46.8775	0.0616	0	0	0	0	0	11.2904	0	0	0	0.0671	1	0	0.4681	0	0	0	0.7395	0.0274	0	0.0227	0	9	0	0.5305	0	0	0	1	0	253	0	0	0	443	302	0	274	0	9	0	922	0	0	0		
